"","ECOSUBCD","PLT_CN","tpaDead","baDead","volumeDead","propDead","propDeadLarge","volCWD","stage","baLive","carbonLive","richness","evenness","subForestProp","tpaCanopy","annualRecruit","annualMortality","micrForestProp","tpaRegen","INVYR","plotID","date","SRV_CN","CTY_CN","PREV_PLT_CN","STATECD","UNITCD","COUNTYCD","LAT","LON"
"64"," 211Fc",53962966010538,18.054138,0.687210330843577,3.87253157081812,0.09375,NA,39.390139507557,"mature",9.98580403935993,28785.1153351536,1.48556270541641,0.259930192709979,1,174.523334,NA,NA,1,299.861128,2003,361054165,"2003-08-26",53902625010538,1320451010538,NA,36,8,105,359761.246879192,1646156.77549283
"65"," 211Fc",53963509010538,24.072184,0.718619038722921,2.53288198281699,0.1,NA,NA,"mature",13.2256884918421,44626.9024797167,1.33333333333333,0.259930192709979,1,216.649656,NA,NA,1,224.895846,2003,361052110,"2003-07-09",53902625010538,1320451010538,NA,36,8,105,368210.660219138,1638629.62422638
"66"," 211Fc",58324157010538,6.018046,0.0762347278624841,0.158367739125754,0.04,NA,NA,"mature",9.31024237493374,33538.3007222465,2.04124145231932,0.230258509299405,1,144.433104,NA,NA,1,224.895846,2002,421032500,"2002-03-25",58291110010538,1320591010538,NA,42,8,103,320066.942303555,1638173.26036949
"67"," 211Fc",58572205010538,30.09023,1.24335791754597,4.98252202617386,0.161290322580645,0.333333333333333,NA,"pole",6.09200858516454,22763.8189625809,0.784464540552736,0.346573590279973,1,156.469196,NA,NA,1,149.930564,2004,42895109,"2004-03-30",58525641010538,1320588010538,NA,42,8,89,307205.964167958,1625419.1158344
"68"," 211Fc",58575882010538,19.2891653925915,0.534293796757303,2.71918324022299,0.0625,NA,NA,"pole",13.1788723180218,50788.5028533311,1.46059348668044,0.259930192709979,0.623982,289.337480888872,NA,NA,0.527801,426.099696665978,2004,421034085,"2004-08-26",58525641010538,1320591010538,NA,42,8,103,337733.711032764,1646146.40354099
"69"," 211Fc",64253252010538,24.072184,0.614299437115897,2.46265395067467,0.111111111111111,NA,NA,"pole",NA,NA,1.23743686707646,0.277987164150759,1,NA,NA,NA,1,74.965282,2004,361052847,"2005-02-15",64248887010538,1320451010538,NA,36,8,105,365644.755875037,1638238.27158378
"70"," 211Fc",65141290010538,18.054138,0.541602000626232,1.50369131437355,0.0625,NA,NA,"mature",19.4864807644942,67706.5329340654,0.894427190999916,0.298626578204676,1,270.81207,NA,NA,1,299.861128,2005,361054223,"2005-02-03",65136132010538,1320451010538,NA,36,8,105,384147.080906084,1654814.42397361
"71"," 211Fc",118182263010661,6.018046,0.113467768950521,0.515649323022795,0.0333333333333333,NA,NA,"mature",7.89505138078573,20450.7649856576,0.557086014531156,0.366204096222703,1,174.523334,0.00762195121951219,0.0152439024390244,1,599.722256,2008,361053645,"2009-01-29",118181903010661,1320451010538,53700948010538,36,8,105,377382.351690543,1659956.50958341
"72"," 211Fc",122561116010661,12.036092,0.205071417950082,0.665754880575166,0.0571428571428571,NA,NA,"late",12.8787594922855,54749.8173586073,1.39262124764558,0.259930192709979,1,198.595518,0,0.010465724751439,1,149.930564,2007,421032516,"2007-04-20",120631315010661,1320591010538,58323770010538,42,8,103,327017.385891196,1639195.37541433
"73"," 211Fc",122563387010661,20.6458060310817,0.760804224336912,3.92178704855168,0.133333333333333,NA,NA,"mature",7.6442386354792,23867.2539259622,1.9414506867883,0.277987164150759,0.58298,134.197739202031,NA,NA,NA,NA,2007,361052523,"2008-02-27",120631317010661,1320451010538,NA,36,8,105,411214.624222089,1652555.21638657
"74"," 211Fc",168989285010661,18.054138,0.570998111690006,2.9371559598886,0.0517241379310345,NA,NA,"pole",15.3270835184259,45998.3096003125,0.80903983495589,0.298626578204676,1,330.99253,0.015625,0.0178571428571429,1,1124.47923,2010,36105602,"2010-12-15",168855236010661,1320451010538,64253409010538,36,8,105,393174.918692405,1657617.12326456
